record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
4844,5160.0,296.0,970.0,3386.0,2431.0,119.0,1050.0,1895.0,2533.0,4145.0,2366.0,2286.0,1000.0,1157.0,1197.0,3946.0,764.0,238.0,382.0,95.0,1770.8
4852,4370.0,4583.0,263.0,786.0,2453.0,4019.0,4577.0,130.0,1011.0,4700.0,3122.0,271.0,4373.0,2551.0,3608.0,230.0,3817.0,4247.0,2945.0,247.0,2615.15
4857,3975.0,2744.0,4846.0,5160.0,4414.0,2081.0,4499.0,3796.0,281.0,2024.0,697.0,4147.0,1376.0,1594.0,4319.0,2499.0,1013.0,3400.0,1033.0,160.0,2702.9
4861,4152.0,3505.0,321.0,719.0,400.0,4437.0,700.0,1441.0,3678.0,2748.0,2898.0,4894.0,2538.0,4448.0,5033.0,4375.0,890.0,2451.0,1545.0,511.0,2584.2
4876,760.0,2177.0,1275.0,2999.0,4987.0,2543.0,409.0,305.0,313.0,2898.0,3666.0,2501.0,1222.0,2088.0,1018.0,1013.0,220.0,121.0,86.0,48.0,1532.45
4878,3968.0,5042.0,3993.0,4932.0,4527.0,1831.0,3129.0,346.0,2137.0,2730.0,2568.0,1468.0,409.0,58.0,66.0,65.0,57.0,39.0,33.0,27.0,1871.25
4879,3820.0,4169.0,1125.0,4866.0,3125.0,2985.0,1198.0,4246.0,5205.0,1264.0,2323.0,4876.0,4064.0,658.0,4730.0,360.0,113.0,1522.0,3688.0,266.0,2730.15
4883,1625.0,2947.0,4928.0,2821.0,4272.0,3147.0,870.0,3787.0,624.0,227.0,301.0,2566.0,2391.0,3650.0,2272.0,3495.0,635.0,1445.0,2308.0,213.0,2226.2
4903,3343.0,4739.0,5125.0,4173.0,1284.0,3278.0,3740.0,391.0,4191.0,2883.0,3814.0,1114.0,3654.0,4679.0,925.0,865.0,4150.0,771.0,1936.0,209.0,2763.2
4906,699.0,1314.0,3241.0,829.0,2930.0,228.0,4280.0,559.0,4979.0,4867.0,4634.0,2261.0,2385.0,3443.0,3564.0,864.0,1522.0,340.0,170.0,68.0,2158.85
4923,3557.0,3773.0,1285.0,4244.0,1498.0,2068.0,4931.0,2805.0,4137.0,480.0,36.0,3214.0,2231.0,4570.0,417.0,3814.0,4084.0,4253.0,1725.0,195.0,2665.85
4936,1262.0,2362.0,4470.0,5220.0,4562.0,4698.0,1465.0,1211.0,3477.0,2489.0,3660.0,2965.0,2222.0,2629.0,705.0,307.0,4586.0,3680.0,3854.0,207.0,2801.55
4947,3969.0,3364.0,3943.0,2094.0,1277.0,3247.0,1791.0,4329.0,3256.0,4135.0,4518.0,2549.0,2923.0,4174.0,483.0,2662.0,283.0,67.0,57.0,38.0,2457.95
4954,2011.0,4861.0,2463.0,2584.0,1839.0,683.0,2288.0,3610.0,857.0,1873.0,1642.0,121.0,5079.0,1406.0,3965.0,4909.0,4738.0,4421.0,2356.0,178.0,2594.2
4962,3499.0,2062.0,3265.0,4783.0,3741.0,1995.0,2049.0,2144.0,3767.0,4864.0,4772.0,3454.0,1723.0,1835.0,3146.0,684.0,870.0,2101.0,1329.0,364.0,2622.35
4966,380.0,3865.0,5176.0,283.0,4154.0,3839.0,1082.0,3717.0,4750.0,4831.0,3372.0,2326.0,692.0,3225.0,901.0,1882.0,352.0,196.0,102.0,54.0,2258.95
4973,616.0,1501.0,2632.0,4517.0,4965.0,2403.0,4516.0,1232.0,809.0,4049.0,271.0,469.0,3333.0,2788.0,341.0,1457.0,544.0,3105.0,2726.0,361.0,2131.75
4981,2795.0,3318.0,4119.0,17.0,3532.0,5155.0,5105.0,2485.0,704.0,5220.0,1427.0,4046.0,585.0,3608.0,2998.0,880.0,2876.0,1564.0,3271.0,589.0,2714.7
